type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,3900.17,C1459752517,6054,2153.83,M2031346393,0,0,0
PAYMENT,1795.32,C1173571028,95251,93455.68,M640753749,0,0,0
PAYMENT,17226.93,C1636197104,51352,34125.07,M124076339,0,0,0
PAYMENT,1323.83,C1483172334,21619,20295.17,M2004605247,0,0,0
PAYMENT,8542.6,C632857794,31384,22841.4,M142153119,0,0,0
PAYMENT,7322.66,C1798452583,50769,43446.34,M1110031135,0,0,0
CASH_IN,187738.42,C576166188,11402,199140.42,C41087424,448740.77,261002.35,0
CASH_OUT,192578.4,C1656927508,5618,0,C2125500927,0,192578.4,0
CASH_OUT,59511.28,C404831526,1103,0,C490307120,453025.01,512536.29,0
CASH_OUT,157730.25,C400530558,40464,0,C1382027653,0,157730.25,0
PAYMENT,2172.98,C157280592,72654,70481.02,M2126677882,0,0,0
PAYMENT,26179.77,C1872448905,22418,0,M80478312,0,0,0
CASH_OUT,47170.97,C1924099272,12892,0,C343764694,132144.96,179315.93,0
CASH_IN,310499.04,C406641840,4718,315217.04,C75991692,16286.44,0,0
CASH_OUT,266547.03,C771636539,21464,0,C885792946,711791.93,978338.96,0
PAYMENT,14363.38,C1238738860,10364,0,M1083526002,0,0,0
CASH_OUT,48971.93,C1043519116,23527,0,C395087465,0,48971.93,0
CASH_OUT,165928.79,C1652110228,6,0,C110167572,0,165928.79,0
PAYMENT,7371.83,C108331184,5137,0,M1825641943,0,0,0
PAYMENT,14538.22,C1149184119,7950,0,M1873893119,0,0,0
PAYMENT,13814.71,C1097837369,6092,0,M636772718,0,0,0
TRANSFER,227506.25,C410372407,4805,0,C1702632250,0,227506.25,0
CASH_OUT,78718.19,C2107011688,11021,0,C307626388,360263.79,438981.98,0
CASH_OUT,226726.51,C1092364416,127657,0,C409599280,98724.07,325450.58,0
CASH_OUT,88482.18,C1197858524,161179,72696.82,C150045877,14626.72,103108.9,0
TRANSFER,1390048.67,C1903139702,1390048.67,0,C1780389653,0,0,1
CASH_OUT,1390048.67,C1067753985,1390048.67,0,C1479628852,167999.27,1558047.94,1
PAYMENT,7054.53,C534562141,13459,6404.47,M1982233412,0,0,0
CASH_OUT,252310.43,C2074082013,103702,0,C442723264,0,252310.43,0
PAYMENT,625.17,C1639054085,93684,93058.83,M406727747,0,0,0
PAYMENT,17832.84,C1560774747,153616,135783.16,M1498073140,0,0,0
CASH_IN,205233.17,C936208843,11621,216854.17,C1562137241,5852.19,0,0
CASH_OUT,143555.67,C1584924485,11136,0,C1549056229,1562237.34,1705793.01,0
CASH_OUT,271688.62,C1071384961,9979,0,C477487450,0,271688.62,0
CASH_OUT,393418.33,C811101478,26145,0,C922888666,189611.4,583029.73,0
PAYMENT,31065.71,C1820838359,253,0,M1927002413,0,0,0
PAYMENT,23586.63,C764688118,215971,192384.37,M1591107391,0,0,0
PAYMENT,366.55,C214821955,11147,10780.45,M602947110,0,0,0
PAYMENT,10520.95,C794791720,86626,76105.05,M1134297691,0,0,0
TRANSFER,912329.82,C550519199,61032,0,C215286144,0,912329.82,0
CASH_OUT,86932.17,C49498797,40111,0,C116973338,81366.74,168298.91,0
PAYMENT,14094.35,C1359389460,176,0,M1923870133,0,0,0
CASH_IN,204205.6,C1356175046,397,204602.6,C2092693255,451687.38,247481.78,0
CASH_OUT,19697.86,C1223366739,11989,0,C749093768,12349.86,32047.72,0
CASH_OUT,83362.74,C739318873,20778,0,C167513600,1116859.59,1200222.32,0
CASH_OUT,74195.45,C782796260,22066,0,C95869705,0,74195.45,0
CASH_OUT,222212.33,C1590654062,243998,21785.67,C684102107,58474.3,280686.63,0
CASH_IN,53744.91,C1599300781,795,54539.91,C1356563520,699397.68,645652.77,0
CASH_IN,189263.91,C1393436850,79415,268678.91,C1983388234,0,0,0
CASH_IN,146588.94,C962789522,386229,532817.94,C1546917990,0,0,0
TRANSFER,398180.65,C480935892,30513,0,C1789014986,11544.5,409725.15,0
CASH_OUT,340695.56,C1486358240,199583,0,C2025418358,0,340695.56,0
TRANSFER,31006.7,C2062679801,903,0,C994865035,0,31006.7,0
CASH_OUT,222587.98,C1530332837,78823,0,C213869498,10481.35,233069.34,0
CASH_OUT,239967.78,C338466504,46992,0,C372850875,583400.71,823368.49,0
TRANSFER,72700.86,C203107755,11450,0,C1985777699,1633939.85,1706640.71,0
CASH_OUT,109340.97,C2045254887,21417,0,C1444909215,12799.98,122140.95,0
CASH_OUT,405901.69,C445198161,73592,0,C696726522,755386.51,1161288.2,0
PAYMENT,1714.96,C1793290270,50353,48638.04,M1061191324,0,0,0
TRANSFER,975598.83,C116802231,118949,0,C1900359460,6879635.56,7855234.39,0
CASH_OUT,47003.11,C1440093855,20831,0,C548106588,193112.24,240115.35,0
CASH_OUT,313094.09,C616886203,44464,0,C388193283,1474623.53,1787717.62,0
PAYMENT,13917.98,C416076065,22060,8142.02,M748407669,0,0,0
TRANSFER,445966.32,C1234981527,16834,0,C1689908474,265878.32,711844.64,0
CASH_IN,358396.01,C1252443432,19231,377627.01,C1594447944,1435429.69,1077033.69,0
CASH_OUT,94159.61,C882724996,72846,0,C280960713,8696613.23,8790772.84,0
CASH_OUT,307244.83,C1177548033,101538,0,C2078776271,1646199.89,1953444.72,0
CASH_OUT,201674.84,C1829511097,40965,0,C265944759,582515.35,784190.18,0
CASH_IN,117622.46,C301930677,188,117810.46,C152286857,268589.26,150966.79,0
CASH_OUT,128134.5,C1329099646,20552,0,C1650009262,1692849.87,1820984.37,0
CASH_OUT,35184.27,C1988497509,900,0,C1913366622,141804.28,176988.55,0
CASH_OUT,159299.91,C2071603419,2087,0,C974926462,0,159299.91,0
CASH_OUT,9037.01,C313114033,21424,12386.99,C134039853,0,9037.01,0
CASH_IN,276602.72,C503750425,377164,653766.72,C470589679,20277.86,0,0
CASH_IN,84879.92,C1489346948,30831,115710.92,C1542171006,0,0,0
PAYMENT,27780.17,C1926461111,30737,2956.83,M768088425,0,0,0
CASH_OUT,57003.72,C119317918,15869,0,C760080493,43388.73,100392.45,0
CASH_OUT,210441.28,C1914764664,79789,0,C502853857,1629509.6,1839950.88,0
CASH_OUT,48557.19,C456088389,41192,0,C1768641071,0,48557.19,0
CASH_OUT,24379.64,C1992362520,18177,0,C1810342211,5943882.93,5968262.58,0
TRANSFER,235584.68,C345207051,172356,0,C1699806036,27526995.53,27762580.21,0
CASH_OUT,177113.84,C1630377436,10173,0,C181781366,116965.55,294079.39,0
CASH_OUT,123403.72,C12128207,21009,0,C385539409,140151.68,263555.39,0
CASH_OUT,159780.43,C2127971338,137602,0,C592116889,39000.18,198780.61,0
PAYMENT,2926.71,C1908570610,206,0,M2093777251,0,0,0
PAYMENT,3470.96,C876817986,38313,34842.04,M2021251796,0,0,0
DEBIT,3970.86,C437662144,26011,22040.14,C1912265217,203629.4,207600.26,0
PAYMENT,3110.11,C38366328,20981,17870.89,M802517837,0,0,0
CASH_IN,49882.89,C432841497,102606,152488.89,C375702646,508119.54,458236.65,0
CASH_OUT,240859.15,C855579089,30208,0,C1315674866,393666.08,634525.23,0
CASH_OUT,141464.7,C2065471834,70802,0,C1624171195,0,141464.7,0
CASH_OUT,76222.06,C2144850543,659,0,C728659136,159412.12,235634.17,0
CASH_OUT,164387.91,C67068647,53081,0,C498761797,60897.02,225284.92,0
CASH_IN,80639.1,C1225052888,40142,120781.1,C1338307556,189683.74,109044.63,0
CASH_OUT,173646.06,C1456293099,30162,0,C964142260,573226.78,746872.84,0
CASH_OUT,220890.65,C390635767,12538,0,C831281649,234809.01,455699.65,0
PAYMENT,5561.38,C1876426915,561980,556418.62,M2465170,0,0,0
CASH_IN,198623.33,C1022589793,105747,304370.33,C1795519742,2419784.06,2221160.73,0
PAYMENT,9853.55,C1852717840,85084,75230.45,M1100804966,0,0,0
CASH_OUT,21892.94,C1845051338,60105,38212.06,C1305596775,0,21892.94,0
CASH_IN,177013.56,C1257666919,17666,194679.56,C576666367,0,0,0
PAYMENT,4311.59,C1432317330,60707,56395.41,M1946071964,0,0,0
CASH_OUT,252516.99,C1474155846,52271,0,C2104221637,41550.75,294067.73,0
PAYMENT,16885.72,C781820827,16092,0,M8677415,0,0,0
CASH_OUT,134970.06,C106977784,106524,0,C917304259,1991261.14,2126231.21,0
CASH_OUT,190207.17,C1068424087,39607,0,C1697389034,13579.19,203786.36,0
PAYMENT,11514.33,C1556619906,73969,62454.67,M2133765228,0,0,0
CASH_OUT,198578.71,C2063959528,281728,83149.29,C1074313369,367447.11,566025.82,0
PAYMENT,1853.95,C842963836,153466,151612.05,M796881803,0,0,0
CASH_OUT,134626.7,C632874948,21600,0,C1875363253,0,134626.7,0
CASH_IN,237604.73,C1925516382,15741,253345.73,C395707889,0,0,0
PAYMENT,7718.85,C887528449,81728,74009.15,M1615938109,0,0,0
CASH_OUT,10999.48,C37035828,20713,9713.52,C463721358,630105.87,641105.36,0
PAYMENT,906.56,C1489519824,347,0,M1481563484,0,0,0
PAYMENT,172.06,C845425858,118,0,M402802949,0,0,0
TRANSFER,270972.03,C49700881,9402,0,C1323750815,0,270972.03,0
CASH_OUT,197028.03,C754776366,78052,0,C775060935,763399.24,960427.27,0
CASH_OUT,55592.23,C1064161871,92,0,C1576864370,4806.93,60399.16,0
PAYMENT,20109.72,C892206790,22199,2089.28,M74114714,0,0,0
CASH_IN,82807.64,C1326729904,21772,104579.64,C1209736716,15289.63,0,0
CASH_IN,177754.28,C515507895,106917,284671.28,C1224417808,6867037.6,6689283.31,0
PAYMENT,569.92,C1144717416,372477,371907.08,M397832259,0,0,0
PAYMENT,7805.78,C2056976847,669,0,M878430101,0,0,0
CASH_OUT,74406.85,C679459126,143246,68839.15,C9182472,123716.75,198123.61,0
CASH_OUT,91500.19,C217047058,80579,0,C1293970071,0,91500.19,0
CASH_OUT,43039.78,C555099329,16370,0,C2099279680,447871.23,490911.01,0
PAYMENT,17843.21,C1268459545,19302,1458.79,M519605845,0,0,0
CASH_IN,179079.94,C1843663592,22369,201448.94,C759891210,0,0,0
CASH_OUT,37950.06,C2101613497,38049,98.94,C1970085098,411085.89,449035.95,0
PAYMENT,321.48,C1871521768,8437,8115.52,M903710314,0,0,0
PAYMENT,8384.55,C2019799403,30586,22201.45,M635943941,0,0,0
TRANSFER,85460.81,C592670006,13819,0,C1332610154,468764.99,554225.8,0
PAYMENT,7796.64,C2061783520,22201,14404.36,M526999358,0,0,0
CASH_OUT,25428.76,C125226818,1412,0,C1459635795,0,25428.76,0
CASH_OUT,40215.87,C1072965703,499911,459695.13,C94359998,22781.18,62997.05,0
CASH_OUT,99619.19,C1741096200,1241,0,C387161093,15266.88,114886.08,0
PAYMENT,10361.62,C839001697,7524,0,M62907324,0,0,0
PAYMENT,13943.89,C488064412,1063,0,M1109912691,0,0,0
CASH_IN,67287.29,C1639312248,14343,81630.29,C859089011,260650.17,193362.88,0
PAYMENT,6905.3,C501958385,86729,79823.7,M980929397,0,0,0
CASH_OUT,84244.26,C1204747324,20042,0,C444208675,4555873.29,4640117.54,0
CASH_OUT,38689.19,C166601110,846,0,C376913754,0,38689.19,0
CASH_OUT,183904.28,C1324692116,3,0,C855292481,2326422.94,2510327.22,0
CASH_IN,16366.67,C1247634524,40185,56551.67,C1377690532,408651.64,392284.97,0
CASH_IN,158029.56,C2059558455,31422,189451.56,C2089258866,276491.63,118462.07,0
CASH_OUT,62684.42,C39334504,46933,0,C847548960,489241.26,551925.67,0
CASH_IN,51855.05,C1700712741,76845,128700.05,C753214577,0,0,0
CASH_IN,206212.05,C1149253206,189499,395711.05,C1360132009,0,0,0
CASH_OUT,216029.33,C744221463,187085,0,C171905612,779227.66,995256.99,0
CASH_IN,20091.36,C1876117382,183,20274.36,C1144835022,0,0,0
CASH_OUT,302872.33,C2081911968,190,0,C1439426608,1291689.24,1594561.57,0
CASH_OUT,164401.74,C962650098,92809,0,C2097544895,619846.66,784248.4,0
CASH_OUT,68640.38,C1242601626,49609,0,C1915614493,8814959.78,8883600.16,0
CASH_OUT,262851.33,C1066015017,45813,0,C921130575,171710.92,434562.25,0
CASH_OUT,312131.73,C2021640204,6339,0,C502338559,448776.47,760908.2,0
PAYMENT,3878.11,C1197410238,29756,25877.89,M163943303,0,0,0
PAYMENT,15016.9,C1718190279,10972,0,M1615858606,0,0,0
CASH_OUT,51819.8,C1603109613,23648,0,C1145542311,305087.13,356906.92,0
CASH_OUT,21660.15,C2062646064,145151,123490.85,C509158768,7553724.24,7575384.39,0
PAYMENT,8935.66,C1345626897,55306,46370.34,M811192258,0,0,0
CASH_OUT,93538.21,C66103758,15703,0,C2060756655,0,93538.21,0
CASH_OUT,85435.12,C1915316859,78744,0,C6293899,0,85435.12,0
PAYMENT,13445.76,C124805892,133,0,M2032770039,0,0,0
CASH_OUT,71785.98,C2140271557,2155,0,C1350543883,0,71785.98,0
CASH_IN,5941.59,C1188181246,30735,36676.59,C2052844431,301555.23,295613.64,0
TRANSFER,693597.85,C1111365475,29979,0,C123674092,0,693597.85,0
CASH_OUT,21774.48,C2013125360,40323,18548.52,C1037515166,100552.64,122327.12,0
CASH_IN,214892.02,C117575697,40802,255694.02,C1365203747,25817.28,0,0
PAYMENT,15460.07,C1352704459,119865,104404.93,M1645687219,0,0,0
PAYMENT,21045.78,C2065980763,12027,0,M1823561910,0,0,0
CASH_OUT,86348.1,C969544210,136,0,C1054075455,152385.95,238734.05,0
CASH_OUT,10389.99,C1644897841,11247,857.01,C801577031,3998603.72,4008993.71,0
